SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
DCTW,07-Jan-2015,32.3,35.38,29.23,33.84,0
DDA,07-Jan-2015,18.75,18.75,15.46,18.12,0
DDB,07-Jan-2015,16.93,17.35,10.22,16.48,0
DDO,07-Jan-2015,140.57,140.57,140.57,140.57,0
DDX,07-Jan-2015,135.24,135.52,134.01,135.33,0
DECA,07-Jan-2015,59,132,59,117,36811600
DECD,07-Jan-2015,28,99,28,99,25803900
DECE,07-Jan-2015,168,400,168,358,374924600
DECN,07-Jan-2015,371,823,361,568,1006052000
DECQ,07-Jan-2015,408,1021,408,790,482718700
DECS,07-Jan-2015,205,633,205,633,213718800
DECT,07-Jan-2015,838,1939,838,1475,1525582000
DECV,07-Jan-2015,52,308,52,296,32454200
DECX,07-Jan-2015,257,930,257,929,246173000
DFI,07-Jan-2015,2798.82,2820.58,2790.15,2812.14,0
DGE,07-Jan-2015,999.59,1015.53,999.59,1015.47,0
DHC,07-Jan-2015,4895.16,4958.74,4895.16,4958.34,0
DHD,07-Jan-2015,1160.9,1165.67,1153.02,1162.92,0
DIFI,07-Jan-2015,46.66,53.33,40,53.33,0
DIOF,07-Jan-2015,63.33,70,63.33,70,0
DIOH,07-Jan-2015,70,70,63.33,66.66,0
DITH,07-Jan-2015,73.33,73.33,70,73.33,0
DITW,07-Jan-2015,26.66,33.33,23.33,26.66,0
DIVD,07-Jan-2015,1.5,1.5,1.5,1.5,0
DJC,07-Jan-2015,6294.43,6364.79,6294.43,6355.22,0
DJEC,07-Jan-2015,485.75,486.96,479.15,480.7,0
DJI,07-Jan-2015,17374.78,17597.08,17374.78,17584.52,91026600
DJT,07-Jan-2015,8724.61,8792.17,8724.61,8772.38,13912100
DJU,07-Jan-2015,616,624.18,614.46,621.55,10772100
DJWO,07-Jan-2015,310.59,313.09,310.56,312.56,0
DLTC,07-Jan-2015,968.53,977.38,967.5,973.4,0
DMT,07-Jan-2015,8728.62,8791.26,8725.64,8772.38,0
DOI,07-Jan-2015,2802.08,2802.08,2802.08,2802.08,0
DOWE,07-Jan-2015,1706.39,1726.45,1701.32,1703.18,0
DOWV,07-Jan-2015,193.59,194.04,193.13,193.73,0
DRCI,07-Jan-2015,251.06,254.2,250.24,254.07,0
DREI,07-Jan-2015,336.63,341.18,335.53,340.99,0
DRG,07-Jan-2015,531.22,537.75,531.22,537.67,0
DRO,07-Jan-2015,543.57,543.57,543.57,543.57,0
DSAE,07-Jan-2015,818.7,829.6,818.7,827.32,5870800
DSAF,07-Jan-2015,884.11,892.89,884.11,891.22,1217600
DSAG,07-Jan-2015,176.87,180.03,176.87,179.76,6823400
DSAI,07-Jan-2015,369.25,372.1,369.25,370.41,4950100
DSAL,07-Jan-2015,124.95,129.01,124.95,128.18,2939000
DSAM,07-Jan-2015,917.42,935.04,917.42,934.4,12541400
DSAP,07-Jan-2015,311.93,317.39,311.93,317.17,15565600
DSAR,07-Jan-2015,251.98,254.71,249.13,252.51,9693900
DSAS,07-Jan-2015,879.03,890.76,879.03,887.79,3829500
DSAT,07-Jan-2015,418.09,423.44,418.09,423.27,3089200
DSAU,07-Jan-2015,205.06,209.84,205.05,209.45,11332900
