SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
ADDA,05-Jan-2015,-36,-33,-72,-72,0
ADDD,05-Jan-2015,4,4,-54,-47,0
ADDE,05-Jan-2015,-518,-518,-828,-815,0
ADDN,05-Jan-2015,-1468,-1028,-1508,-1402,0
ADDQ,05-Jan-2015,-902,-318,-1140,-1023,0
ADDS,05-Jan-2015,-162,-162,-594,-545,0
ADDT,05-Jan-2015,-2406,-1426,-2712,-2497,0
ADDV,05-Jan-2015,-24,-24,-178,-120,0
ADDX,05-Jan-2015,-186,-186,-760,-665,0
ADR,05-Jan-2015,797.45,797.45,785.8,787.98,0
ADRA,05-Jan-2015,0.64,0.74,0.55,0.55,0
ADRD,05-Jan-2015,1.26,1.26,0.53,0.61,0
ADRE,05-Jan-2015,0.34,0.34,0.27,0.29,0
ADRN,05-Jan-2015,0.16,0.34,0.16,0.2,0
ADRQ,05-Jan-2015,0.36,0.75,0.35,0.4,0
ADRS,05-Jan-2015,0.6,0.6,0.45,0.5,0
ADRT,05-Jan-2015,0.26,0.52,0.26,0.31,0
ADRV,05-Jan-2015,0.76,0.76,0.56,0.69,0
ADRX,05-Jan-2015,0.63,0.63,0.48,0.55,0
ADVA,05-Jan-2015,65,103,65,91,36729400
ADVD,05-Jan-2015,19,76,19,74,24678400
ADVE,05-Jan-2015,273,346,273,346,400877600
ADVN,05-Jan-2015,280,537,280,361,429607500
ADVQ,05-Jan-2015,523,1002,523,701,293604400
ADVS,05-Jan-2015,251,562,251,562,107224000
ADVT,05-Jan-2015,868,1615,868,1153,759941300
ADVV,05-Jan-2015,79,279,79,277,26167200
ADVX,05-Jan-2015,330,841,330,839,133391200
AEX,05-Jan-2015,420.06,424.58,410.49,410.94,0
AMZ,05-Jan-2015,469.68,469.68,447.69,448.48,0
ASHD,05-Jan-2015,27,1262,27,1262,0
ASHF,05-Jan-2015,-21,-21,-820,-803,0
ASHR,05-Jan-2015,0.22,0.41,0.22,0.36,0
ASHU,05-Jan-2015,6,471,6,459,0
AVDA,05-Jan-2015,-109.19,94.55,-1597.68,-1238.26,0
AVDD,05-Jan-2015,36.54,1461.27,-4845.98,1177.57,0
AVDV,05-Jan-2015,-89.83,-11.1,-2441.36,-1921.01,0
AVLD,05-Jan-2015,2.42,1075.12,2.42,1075.12,0
AVLF,05-Jan-2015,-2.35,-2.35,-712.17,-711.88,0
AVLR,05-Jan-2015,0.02,0.65,0.02,0.33,0
AVLU,05-Jan-2015,0.06,363.49,0.06,363.23,0
AVRA,05-Jan-2015,0.59,1.06,0.55,0.74,0
AVRD,05-Jan-2015,4.21,4.49,0.1,1.91,0
AVRE,05-Jan-2015,0.52,0.52,0.31,0.32,0
AVRN,05-Jan-2015,0.2,0.2,0.11,0.13,0
AVRQ,05-Jan-2015,0.4,0.43,0.21,0.22,0
AVRS,05-Jan-2015,0.55,0.58,0.27,0.41,0
AVRT,05-Jan-2015,0.27,0.27,0.15,0.16,0
AVRV,05-Jan-2015,0.7,0.98,0.48,0.57,0
AVRX,05-Jan-2015,0.6,0.6,0.31,0.44,0
AVVA,05-Jan-2015,1.58,36.72,1.58,36.72,0
AVVD,05-Jan-2015,0.47,24.67,0.47,24.67,0
AVVE,05-Jan-2015,22.55,408.19,22.55,400.87,0
AVVN,05-Jan-2015,21.3,444.19,21.3,429.6,0
AVVQ,05-Jan-2015,22.49,311.97,22.49,293.6,0
AVVS,05-Jan-2015,3.91,107.22,3.91,107.22,0
AVVT,05-Jan-2015,45.38,791.86,45.38,759.94,0
AVVV,05-Jan-2015,2.15,26.3,2.15,26.16,0
AVVX,05-Jan-2015,6.07,133.39,6.07,133.39,0
BANK,05-Jan-2015,2636.56,2636.73,2590.95,2591.83,0
BCMM,05-Jan-2015,99.32,99.32,98.27,98.5,0
BFX,05-Jan-2015,3270.35,3306.17,3205.26,3208.15,0
BJE,05-Jan-2015,172.71,174.6,171.28,173.23,0
BKNIF,05-Jan-2015,19155.2,19166,18987.7,19017.4,0
BKX,05-Jan-2015,73.95,73.95,71.74,71.87,0
BSESN,05-Jan-2015,27978.43,28064.49,27786.85,27842.32,0
BTK,05-Jan-2015,3434.91,3491.91,3425.58,3464.55,0
BTS,05-Jan-2015,3515.3,3515.3,3515.3,3515.3,0
BVSP,05-Jan-2015,48512.219,48512.219,47263.91,47516.82,0
BWH,05-Jan-2015,216.82,220.88,216.54,217.74,0
BXD,05-Jan-2015,264.48,264.48,261.19,261.58,0
BXM,05-Jan-2015,1078.97,1078.97,1065.57,1067.33,0
BXN,05-Jan-2015,439.81,439.98,434.95,435.87,0
