Symbol,Date,Open,High,Low,Close,Volume
ADDA,08-Jan-2015,44,69,36,57,0
ADDD,08-Jan-2015,20,30,-22,-10,0
ADDE,08-Jan-2015,495,871,495,863,0
ADDN,08-Jan-2015,1446,1539,1339,1416,0
ADDQ,08-Jan-2015,1211,1376,1109,1199,0
ADDS,08-Jan-2015,317,493,310,310,0
ADDT,08-Jan-2015,2701,2911,2499,2672,0
ADDV,08-Jan-2015,17,60,6,8,0
ADDX,08-Jan-2015,334,538,318,318,0
ADR,08-Jan-2015,794.54,804.82,794.54,802.21,0
ADRA,08-Jan-2015,1.84,1.85,1.36,1.65,0
ADRD,08-Jan-2015,1.95,1.95,0.79,0.9,0
ADRE,08-Jan-2015,3.66,4.19,3.66,3.72,0
ADRN,08-Jan-2015,6.27,6.51,4.45,5.05,0
ADRQ,08-Jan-2015,4.11,4.11,2.69,2.98,0
ADRS,08-Jan-2015,2.96,3.16,1.48,1.48,0
ADRT,08-Jan-2015,4.77,4.77,3.2,3.56,0
ADRV,08-Jan-2015,1.34,1.36,1.02,1.02,0
ADRX,08-Jan-2015,2.59,2.61,1.33,1.33,0
ADVA,08-Jan-2015,96,150,96,144,44239700
ADVD,08-Jan-2015,41,95,41,95,30171100
ADVE,08-Jan-2015,681,1180,681,1180,1000633000
ADVN,08-Jan-2015,1720,1826,1715,1765,3158604000
ADVQ,08-Jan-2015,1600,1842,1600,1803,1596353000
ADVS,08-Jan-2015,478,973,478,949,219267400
ADVT,08-Jan-2015,3416,3795,3416,3712,4799197000
ADVV,08-Jan-2015,66,314,66,313,28529300
ADVX,08-Jan-2015,544,1287,544,1262,247796700
AEX,08-Jan-2015,416.6,424.14,415.44,423.07,0
AMZ,08-Jan-2015,441.29,447.63,441.24,445.45,0
ASHD,08-Jan-2015,34,443,34,428,0
ASHF,08-Jan-2015,117,845,117,838,0
ASHR,08-Jan-2015,4.44,4.44,2.63,2.95,0
ASHU,08-Jan-2015,151,1271,151,1266,0
AVDA,08-Jan-2015,52.18,1571.77,52.18,1501.21,0
AVDD,08-Jan-2015,99.39,179.92,-6276.81,-2027.35,0
AVDE,08-Jan-2015,1730.85,69658.93,1730.85,69658.93,0
AVDN,08-Jan-2015,7543.96,251394.12,7543.96,251394.12,0
AVDQ,08-Jan-2015,4528.71,129636.77,4528.71,126041.75,0
AVDS,08-Jan-2015,477.37,11892.33,477.37,8856.41,0
AVDT,08-Jan-2015,12124.85,382155.69,12124.85,378935.87,0
AVDV,08-Jan-2015,20.21,377.01,-465.55,-435.29,0
AVDX,08-Jan-2015,497.58,12239.21,497.58,8421.12,0
AVLD,08-Jan-2015,3.24,275.28,3.24,275.28,0
AVLF,08-Jan-2015,2.98,590.83,1.64,584.76,0
AVLR,08-Jan-2015,1.91,4.24,1.24,3.12,0
AVLU,08-Jan-2015,6.23,862.78,6.23,860.05,0
AVRA,08-Jan-2015,1.47,2.58,1.23,1.51,0
AVRD,08-Jan-2015,1.57,1.57,0.21,0.59,0
AVRE,08-Jan-2015,1.87,3.93,1.87,3.29,0
AVRN,08-Jan-2015,5.11,8.23,4.34,4.97,0
AVRQ,08-Jan-2015,3.88,5.61,3.57,4.64,0
AVRS,08-Jan-2015,2.83,5.63,1.49,1.67,0
AVRT,08-Jan-2015,4.44,6.07,4.02,4.76,0
AVRV,08-Jan-2015,1.26,1.49,0.85,0.86,0
AVRX,08-Jan-2015,2.47,4.43,1.36,1.51,0
AVVA,08-Jan-2015,1.61,44.23,1.61,44.23,0
AVVD,08-Jan-2015,2.73,30.17,2.73,30.17,0
AVVE,08-Jan-2015,37.08,1000.63,37.08,1000.63,0
AVVN,08-Jan-2015,93.79,3158.6,93.79,3158.6,0
AVVQ,08-Jan-2015,61.01,1646.21,61.01,1596.35,0
AVVS,08-Jan-2015,7.37,219.27,7.37,219.26,0
AVVT,08-Jan-2015,156.42,4832.99,156.42,4799.19,0
AVVV,08-Jan-2015,0.96,28.63,0.96,28.52,0
AVVX,08-Jan-2015,8.34,247.8,8.34,247.79,0
BANK,08-Jan-2015,2570.73,2592.92,2567.01,2590.65,0
BCMM,08-Jan-2015,100.84,101.55,100.84,101.55,0
BFX,08-Jan-2015,3235.79,3283.22,3231.27,3283.22,0
BJE,08-Jan-2015,175.63,177.89,175.63,177.7,0
BKNIF,08-Jan-2015,18587.1,18752.3,18486.2,18701.4,0
BKX,08-Jan-2015,70.65,71.93,70.65,71.8,0
BSESN,08-Jan-2015,27178.77,27316.41,27101.94,27274.71,0
BTK,08-Jan-2015,3546.62,3557.88,3516.29,3554.06,0
BTS,08-Jan-2015,3515.3,3515.3,3515.3,3515.3,0
BVSP,08-Jan-2015,49463.148,50260.719,49017.309,49943.301,0
BWH,08-Jan-2015,214.23,214.23,209.24,209.61,0
BXD,08-Jan-2015,263.98,266.27,263.98,266.27,0
BXM,08-Jan-2015,1074.95,1085.46,1074.95,1085.29,0
BXN,08-Jan-2015,439.45,443.87,439.45,443.33,0
BXR,08-Jan-2015,202.34,203.46,202.28,203.46,0
BXY,08-Jan-2015,1483.1,1502.89,1483.1,1501.67,0
BZJ,08-Jan-2015,63.99,65.76,63.99,65.68,0
CAC40,08-Jan-2015,4176.16,4270.11,4163.63,4260.19,0
CASE,08-Jan-2015,8798.94,8954.29,8798.94,8946.34,82042904
CELS,08-Jan-2015,220.189,223.401,219.722,223.158,0
CEX,08-Jan-2015,493.53,506.11,493.53,504.99,0
CIV,08-Jan-2015,29.98,30.12,29.15,29.27,0
CKG,08-Jan-2015,492.23,498.27,492.23,498.26,0
COMP,08-Jan-2015,4689.54,4741.38,4688.02,4736.19,0
CPH,08-Jan-2015,261.58,261.58,261.58,261.58,0
CPR,08-Jan-2015,2.764,2.794,2.7535,2.7695,36919
CRXR,08-Jan-2015,1063.74,1063.74,1063.74,1063.74,0
CSO,08-Jan-2015,1055.61,1055.61,1055.61,1055.61,0
CVK,08-Jan-2015,461.83,466.52,461.83,465.96,0
CYM,08-Jan-2015,21.86,22.19,21.86,22.18,0
CYO,08-Jan-2015,1593.29,1593.29,1593.29,1593.29,0
CZH,08-Jan-2015,269.69,273.41,269.43,272.88,0
DAX,08-Jan-2015,9643.77,9855.43,9607.9,9837.61,0
DCFI,08-Jan-2015,60,64.61,56.92,61.53,0
DCOF,08-Jan-2015,76.92,78.46,75.38,78.46,0
DCOH,08-Jan-2015,75.38,76.92,75.38,76.92,0
DCSE,08-Jan-2015,15570.38,15877.01,15569.36,15818.81,0
DCTH,08-Jan-2015,80,81.53,80,80,0
DCTW,08-Jan-2015,53.84,69.23,52.3,64.61,0
DDA,08-Jan-2015,17.07,17.09,16.44,16.55,0
DDB,08-Jan-2015,15.28,15.59,14.82,14.93,0
DDO,08-Jan-2015,140.57,140.57,140.57,140.57,0
DDX,08-Jan-2015,136.25,138.21,136.25,138.1,0
DECA,08-Jan-2015,52,99,52,87,29227600
DECD,08-Jan-2015,21,111,21,105,50444600
DECE,08-Jan-2015,186,319,186,317,304044000
DECN,08-Jan-2015,274,388,274,349,634680600
DECQ,08-Jan-2015,389,655,389,604,343811200
DECS,08-Jan-2015,161,639,161,639,130703300
DECT,08-Jan-2015,715,1135,715,1040,1007719000
DECV,08-Jan-2015,49,305,49,305,32882200
DECX,08-Jan-2015,210,944,210,944,163585500
DFI,08-Jan-2015,2820.58,2870.25,2820.42,2868.27,0
DGE,08-Jan-2015,1026.67,1034.11,1026.36,1032.37,0
DHC,08-Jan-2015,4967.85,5078.95,4967.85,5076.03,0
DHD,08-Jan-2015,1165.3,1184.71,1165.3,1182.21,0
DIFI,08-Jan-2015,60,66.66,56.66,60,0
DIOF,08-Jan-2015,76.66,76.66,76.66,76.66,0
DIOH,08-Jan-2015,73.33,73.33,73.33,73.33,0
DITH,08-Jan-2015,73.33,73.33,73.33,73.33,0
DITW,08-Jan-2015,60,80,60,70,0
DIVD,08-Jan-2015,1.5,2.13,1.5,2.13,0
DJC,08-Jan-2015,6360.61,6472.45,6360.61,6467.29,0
DJEC,08-Jan-2015,482.34,491.83,480.48,491.76,0
DJI,08-Jan-2015,17591.97,17916.04,17591.97,17907.87,114888400
DJT,08-Jan-2015,8789.33,8976.54,8788.91,8961.6,17216300
DJU,08-Jan-2015,621.77,628.73,621.77,626.61,11042400
DJWO,08-Jan-2015,313.22,318.52,313.22,318.36,0
DLTC,08-Jan-2015,975.23,999.13,975.23,996.4,0
DMT,08-Jan-2015,8796.19,8976.54,8796.19,8961.6,0
DOI,08-Jan-2015,2802.08,2802.08,2802.08,2802.08,0
DOWE,08-Jan-2015,1715.01,1757.28,1715.01,1753.02,0
DOWV,08-Jan-2015,193.54,193.59,192.94,193.15,0
DRCI,08-Jan-2015,254.55,255.63,253.27,255.01,0
DREI,08-Jan-2015,341.68,343.22,339.89,342.32,0
DRG,08-Jan-2015,544.12,549.17,543.9,548.04,0
DRO,08-Jan-2015,543.57,543.57,543.57,543.57,0
DSAE,08-Jan-2015,827.43,844.01,827.43,843.43,7577700
DSAF,08-Jan-2015,891.22,910.69,891.22,909.45,1561800
DSAG,08-Jan-2015,179.99,182.6,179.99,182.31,6825300
DSAI,08-Jan-2015,370.46,377.69,370.46,377.62,5397000
DSAL,08-Jan-2015,128.18,133.05,128.18,131.83,4509600
DSAM,08-Jan-2015,934.92,953.1,934.92,952.8,16256300
DSAP,08-Jan-2015,317.32,322.45,317.32,321.84,16400100
DSAR,08-Jan-2015,253.19,259.22,253.19,257.32,11962800
DSAS,08-Jan-2015,887.98,903.66,887.98,903.41,4612500
DSAT,08-Jan-2015,423.43,429.78,423.43,429.11,4115200
DSAU,08-Jan-2015,209.45,213.91,209.45,212.74,10417400
DSAV,08-Jan-2015,571.15,583.55,571.15,582.86,1979900
DSBC,08-Jan-2015,1066.68,1087.78,1066.68,1081.68,32893500
DSBD,08-Jan-2015,597.04,615.11,597.04,614.86,4292300
DSBE,08-Jan-2015,137.16,140.85,137.16,140.34,775500
DSBK,08-Jan-2015,314.46,320.9,314.46,320.25,57092100
DSBM,08-Jan-2015,323.49,331.35,323.49,330.79,34669700
DSBS,08-Jan-2015,164.75,168.67,164.75,168.06,21401900
DSBT,08-Jan-2015,1884.3,1913.53,1882.58,1895,23560200
DSBV,08-Jan-2015,585.04,595.77,585.04,594.88,13154000
DSCA,08-Jan-2015,732.43,746.76,732.43,738.95,4076900
DSCC,08-Jan-2015,368.29,379.51,368.29,378.07,8201400
DSCE,08-Jan-2015,815.92,829.45,815.92,826.72,471000
DSCF,08-Jan-2015,355.28,359.6,355.2,359.52,5743200
DSCG,08-Jan-2015,851.98,865.65,851.98,864.46,34331900
DSCH,08-Jan-2015,514.6,527.72,514.6,526.59,13267700
DSCL,08-Jan-2015,86.39,87.85,85.69,87.3,2941600
DSCM,08-Jan-2015,493.5,502.38,493.5,502.26,3688100
DSCN,08-Jan-2015,489.78,505.13,489.78,504.96,7271500
DSCP,08-Jan-2015,306.9,314.49,306.9,314.45,4565100
DSCR,08-Jan-2015,1590.31,1646.79,1590.31,1642.91,26375600
DSCS,08-Jan-2015,1013.65,1030.03,1013.65,1025.78,8897300
DSCT,08-Jan-2015,874.13,890.66,874.13,880.48,30281100
DSCX,08-Jan-2015,806.31,822.84,806.31,822.19,5066200
DSCY,08-Jan-2015,686.5,696.72,686.5,695.74,141498800
DSDB,08-Jan-2015,802.99,831.11,802.99,827.81,421800
DSDN,08-Jan-2015,252.97,259.55,252.97,258.63,2965100
DSDR,08-Jan-2015,670.22,679.5,670.22,679.45,16874300
DSDS,08-Jan-2015,283.16,286.96,283.16,286.94,1151900
DSDT,08-Jan-2015,102.27,102.67,101.86,102.3,1085700
DSDV,08-Jan-2015,125.15,127.9,125.15,127.55,4705600
DSEC,08-Jan-2015,259.14,264.47,259.14,264.44,2972400
DSEE,08-Jan-2015,274.8,280.25,274.8,280.21,8369500
DSEH,08-Jan-2015,86.32,87.79,86.32,87.78,474900
DSEN,08-Jan-2015,635.91,650.91,635.91,650.3,106407900
DSES,08-Jan-2015,166.84,170.58,166.84,170.55,657200
DSEU,08-Jan-2015,225.94,228.27,225.94,227.5,18242500
DSFA,08-Jan-2015,262.57,267.74,262.57,267.71,5668600
DSFB,08-Jan-2015,502.43,510.65,502.43,510.05,28803900
DSFC,08-Jan-2015,161.99,164.76,161.99,164.49,16682300
DSFD,08-Jan-2015,314.7,317.31,314.7,317.22,6786000
DSFE,08-Jan-2015,408.78,417.11,408.78,417.07,5252900
DSFH,08-Jan-2015,331.51,337.49,331.51,336.89,1491200
DSFI,08-Jan-2015,667.94,678.93,667.94,676.81,26520900
DSFN,08-Jan-2015,440.01,446.53,440.01,445.84,146040600
DSFO,08-Jan-2015,331.04,335.8,331.04,335.45,15649800
DSFP,08-Jan-2015,458.04,464.62,458.04,464.14,15649800
DSFR,08-Jan-2015,203.13,209.46,203.13,209.46,1471600
DSFT,08-Jan-2015,909.56,931.18,909.56,930.99,2116200
DSFV,08-Jan-2015,437.88,446.04,437.88,444.91,0
DSGF,08-Jan-2015,748.8,761.11,748.8,758.74,26520900
DSGI,08-Jan-2015,425.88,433.63,425.88,433.63,17013000
DSGT,08-Jan-2015,721.3,729.37,721.3,728.79,51753600
DSGU,08-Jan-2015,210.98,214.27,210.98,214.17,2317500
DSHB,08-Jan-2015,535.82,547.57,535.82,546.31,5063900
DSHC,08-Jan-2015,738.8,751.77,738.8,750.85,85019500
DSHD,08-Jan-2015,261.97,268.11,261.97,268.07,1566400
DSHG,08-Jan-2015,574.67,583.69,574.67,583.2,10943700
DSHI,08-Jan-2015,235.45,241.36,235.45,240.64,3682400
DSHL,08-Jan-2015,141.15,143.9,141.15,143.31,5182300
DSHN,08-Jan-2015,702.4,711.82,702.4,710.92,2822100
DSHP,08-Jan-2015,1136.48,1175.78,1136.48,1174.14,11119800
DSHR,08-Jan-2015,1388.33,1406.1,1388.33,1405.19,8185900
DSHV,08-Jan-2015,394.61,408.38,394.61,408.28,2979100
DSIB,08-Jan-2015,210.55,214.48,210.55,213.77,949900
DSID,08-Jan-2015,482.2,490.44,482.2,490.44,12447800
DSIF,08-Jan-2015,45.38,45.62,45.11,45.33,3303700
DSIG,08-Jan-2015,538.4,548.65,538.4,548.64,69544800
DSIL,08-Jan-2015,646.48,659.8,646.48,656.79,7573600
