Symbol,Date,Open,High,Low,Close,Volume
ADDA,09-Jan-2015,14,14,-38,6,0
ADDD,09-Jan-2015,3,19,-50,-34,0
ADDE,09-Jan-2015,-30,-30,-605,-455,0
ADDN,09-Jan-2015,-254,-254,-1349,-906,0
ADDQ,09-Jan-2015,-227,-227,-1037,-771,0
ADDS,09-Jan-2015,136,136,-171,105,0
ADDT,09-Jan-2015,-467,-467,-2396,-1671,0
ADDV,09-Jan-2015,2,2,-79,-11,0
ADDX,09-Jan-2015,138,138,-223,94,0
ADR,09-Jan-2015,804.23,804.23,794.49,797.95,0
ADRA,09-Jan-2015,1.2,1.2,0.71,1.05,0
ADRD,09-Jan-2015,1.14,1.63,0.55,0.69,0
ADRE,09-Jan-2015,0.92,0.92,0.37,0.52,0
ADRN,09-Jan-2015,0.76,0.76,0.21,0.39,0
ADRQ,09-Jan-2015,0.78,0.78,0.37,0.51,0
ADRS,09-Jan-2015,1.63,1.63,0.75,1.14,0
ADRT,09-Jan-2015,0.78,0.78,0.31,0.47,0
ADRV,09-Jan-2015,1.03,1.03,0.73,0.96,0
ADRX,09-Jan-2015,1.51,1.51,0.77,1.08,0
ADVA,09-Jan-2015,81,127,81,126,46387200
ADVD,09-Jan-2015,24,78,24,78,13742400
ADVE,09-Jan-2015,393,525,356,506,437265800
ADVN,09-Jan-2015,848,848,373,599,948150500
ADVQ,09-Jan-2015,822,969,621,812,589553900
ADVS,09-Jan-2015,351,844,351,844,160457900
ADVT,09-Jan-2015,1751,1876,1089,1537,1584092000
ADVV,09-Jan-2015,56,314,56,314,38634300
ADVX,09-Jan-2015,407,1158,407,1158,199092200
AEX,09-Jan-2015,422.41,424.23,412.76,415.59,0
AMZ,09-Jan-2015,445.45,446.27,439.79,444.82,0
ASHD,09-Jan-2015,25,1066,25,1015,0
ASHF,09-Jan-2015,24,245,-594,-355,0
ASHR,09-Jan-2015,1.96,2.43,0.43,0.65,0
ASHU,09-Jan-2015,49,672,49,660,0
AVDA,09-Jan-2015,56.82,2727.84,56.82,2726.97,0
AVDD,09-Jan-2015,-224.7,-224.7,-9145.02,-5034.6,0
AVDS,09-Jan-2015,184.03,1286.17,-6789.92,-20.72,0
AVDV,09-Jan-2015,4.65,946.23,-283.36,946.23,0
AVDX,09-Jan-2015,188.68,1526.25,-6841.27,925.51,0
AVLD,09-Jan-2015,4.03,680.53,4.03,680.29,0
AVLF,09-Jan-2015,5.37,21.16,-278.3,-259.73,0
AVLR,09-Jan-2015,2.33,2.33,0.41,0.61,0
AVLU,09-Jan-2015,9.41,421.17,9.41,420.56,0
AVRA,09-Jan-2015,1.63,2.47,1.16,2.42,0
AVRD,09-Jan-2015,0.1,0.43,0.1,0.21,0
AVRE,09-Jan-2015,0.84,1.35,0.41,0.52,0
AVRN,09-Jan-2015,0.71,0.82,0.22,0.41,0
AVRQ,09-Jan-2015,0.9,1.16,0.22,0.61,0
AVRS,09-Jan-2015,1.58,1.84,0.42,0.99,0
AVRT,09-Jan-2015,0.8,0.95,0.23,0.48,0
AVRV,09-Jan-2015,1.03,1.32,0.4,1.32,0
AVRX,09-Jan-2015,1.42,1.47,0.47,1.04,0
AVVA,09-Jan-2015,1.46,46.38,1.46,46.38,0
AVVD,09-Jan-2015,0.25,13.99,0.25,13.74,0
AVVE,09-Jan-2015,23.82,445.81,23.82,437.26,0
AVVN,09-Jan-2015,38.49,1010.76,38.49,948.15,0
AVVQ,09-Jan-2015,34.4,589.55,34.4,589.55,0
AVVS,09-Jan-2015,4.97,160.45,4.97,160.45,0
AVVT,09-Jan-2015,74.36,1589.25,74.36,1584.09,0
AVVV,09-Jan-2015,1.3,38.64,1.3,38.63,0
AVVX,09-Jan-2015,6.27,199.09,6.27,199.09,0
BANK,09-Jan-2015,2591.05,2591.05,2531.23,2532.04,0
BCMM,09-Jan-2015,99.9,99.9,99.12,99.42,0
BFX,09-Jan-2015,3274.53,3297.29,3228.92,3248.19,0
BJE,09-Jan-2015,177.7,178.27,175.56,176.95,0
BKNIF,09-Jan-2015,18845.9,18864,18479.65,18637.25,0
BKX,09-Jan-2015,71.81,71.82,70.17,70.18,0
BSESN,09-Jan-2015,27404.19,27507.67,27119.63,27458.38,0
BTK,09-Jan-2015,3562.42,3565.46,3511.16,3538.95,0
BTS,09-Jan-2015,3515.3,3515.3,3515.3,3515.3,0
BVSP,09-Jan-2015,49954.699,49954.699,48500.66,48840.25,0
BWH,09-Jan-2015,209.61,212.19,207.76,208.41,0
BXD,09-Jan-2015,266.26,266.31,264.23,264.91,0
BXM,09-Jan-2015,1086.38,1086.38,1076.77,1080.07,0
BXN,09-Jan-2015,444.17,444.54,439.17,441.46,0
BXR,09-Jan-2015,203.69,203.69,202.27,202.84,0
BXY,09-Jan-2015,1502.55,1502.55,1484.91,1489.6,0
BZJ,09-Jan-2015,65.68,65.68,64.5,65.12,0
CAC40,09-Jan-2015,4249.26,4272.83,4149.14,4179.07,0
CELS,09-Jan-2015,223.164,223.946,220.89,222.652,0
