"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PDBC","PowerShares DB Optimum Yield Diversified Commodity Strategy Po","20.54","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pdbc",
"PRFZ","PowerShares FTSE RAFI US 1500 Small-Mid Portfolio","99.51","$1.07B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/prfz",
"PAGG","PowerShares Global Agriculture Portfolio","29.5476","$67.96M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pagg",
"PSAU","PowerShares Global Gold and Precious Metals Portfolio","16.954","$20.34M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psau",
"IPKW","PowerShares International BuyBack Achievers Portfolio","24.5","$17.15M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ipkw",
"LDRI","PowerShares LadderRite 0-5 Year Corporate Bond Portfolio","25.17","$5.03M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ldri",
"LALT","PowerShares Multi-Strategy Alternative Portfolio","24.27","$21.84M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lalt",
"PNQI","PowerShares NASDAQ Internet Portfolio","66.05","$257.6M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pnqi",
"QQQ","PowerShares QQQ Trust, Series 1","103.3","$39.96B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qqq",
"PSCD","PowerShares S&P SmallCap Consumer Discretionary Portfolio","51.4","$118.22M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pscd",
"PSCC","PowerShares S&P SmallCap Consumer Staples Portfolio","53.74","$21.5M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pscc",
"PSCE","PowerShares S&P SmallCap Energy Portfolio","27.73","$22.18M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psce",
"PSCF","PowerShares S&P SmallCap Financials Portfolio","41.3201","$115.7M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pscf",
"PSCH","PowerShares S&P SmallCap Health Care Portfolio","60.54","$169.51M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psch",
