Symbol,Date,Open,High,Low,Close,Volume
S5OH,06-Jan-2015,66.46,68.07,58.43,60.15,0
S5TH,06-Jan-2015,68.27,69.27,64.65,66.13,0
S5TR,06-Jan-2015,432.8,434.27,423.27,425.96,0
S5TW,06-Jan-2015,29.31,34.33,16.46,19.52,0
S6CD,06-Jan-2015,458.6,459.48,447.2,451.36,0
S6CS,06-Jan-2015,1317.63,1321.12,1297.62,1307.55,0
S6EP,06-Jan-2015,1018.45,1022.22,968.53,980.39,0
S6FI,06-Jan-2015,51.45,52.31,35.16,38.83,0
S6FP,06-Jan-2015,743.27,745.45,731.81,733.07,0
S6HC,06-Jan-2015,1408.18,1411.11,1379.97,1392.46,0
S6IP,06-Jan-2015,733.81,735.45,713.53,719.11,0
S6MP,06-Jan-2015,421.41,422.17,410.69,413.76,0
S6OF,06-Jan-2015,63.8,64.66,54.71,56,0
S6OH,06-Jan-2015,61.57,61.92,53.68,55.33,0
S6TH,06-Jan-2015,61.57,61.74,54.71,57.16,0
S6TP,06-Jan-2015,425,426.27,413.25,416.31,0
S6TR,06-Jan-2015,926.98,932.79,914.48,923.1,0
S6TW,06-Jan-2015,38.59,38.59,18.69,24,0
S6UP,06-Jan-2015,474.86,478.8,469.54,469.86,0
S7TR,06-Jan-2015,717.95,720.26,702.76,706.61,0
S8TR,06-Jan-2015,896.27,902.7,878.59,884.53,0
S9TR,06-Jan-2015,501.45,506.45,500.1,503.54,0
SAAA,06-Jan-2015,1410.88,1410.88,1380.82,1385.35,0
SAAB,06-Jan-2015,2086.77,2086.77,2053.97,2060.99,0
SAAC,06-Jan-2015,1959.94,1959.94,1932.94,1940.94,0
SAAE,06-Jan-2015,39.15,39.29,38.72,38.95,0
SAAI,06-Jan-2015,935.27,935.27,901.77,906.48,0
SAAM,06-Jan-2015,502.76,508.96,500.65,507.15,0
SAAW,06-Jan-2015,249.41,251.55,247.49,248.13,0
SACC,06-Jan-2015,3404.43,3413.16,3386.92,3403.18,0
SACN,06-Jan-2015,161.49,163.08,161.07,162.49,0
SACP,06-Jan-2015,93.02,93.82,92.05,92.56,0
